Feature / Script Pattern,Direction,% change vs control (CPTBEAP),Potential Impact,Evidence,Example Snippet (paraphrased)
"Addressing/geo terms (address, postcode, GPS)",Lean into,-28.6%,Very Confident,Multi-test,“Drop the exact entrance code or postcode—no guessing.”
Explicit brand mention (what3words/w3w),Lean into,-26.2%,Very Confident,Single-test,“Search it by name in the app—what3words.”
More sentences (≥ within-test median),Avoid / soften,+65.0%,Very Confident,Multi-test,“A paragraph with multiple beats before the payoff.”
Includes numerals,Lean into,-25.1%,Quite Confident,Multi-test,“3 steps and you’re in.”
Second-person voice (you/your),Lean into,-21.7%,Quite Confident,Multi-test,"“You tap, you’re there.”"
Delivery/driver/taxi context,Avoid / soften,+23.6%,Low Confidence,Single-test,“Your taxi will find the building entrance eventually.”
Directions/navigation framing,Avoid / soften,+30.0%,Low Confidence,Multi-test,"“Follow signs from the main road, then look for the gate.”"
Contains exclamation marks,Avoid / soften,+24.0%,Low Confidence,Single-test,“This changes everything!”
"Problem/Frustration framing (lost, wrong, late)",Avoid / soften,+18.7%,Low Confidence,Multi-test,“Never get lost again.”
Contains question marks,Avoid / soften,+15.9%,Low Confidence,Multi-test,“Wish there was a simpler way?”
Question-based scripting,Avoid / soften,+15.9%,Low Confidence,Multi-test,“Wish there was a simpler way?”
"Social proof (millions, reviews, rating)",Lean into,-24.3%,Low Confidence,Single-test,“Trusted by millions of users worldwide.”
"Story cues (imagine, because)",Avoid / soften,+19.8%,Low Confidence,Single-test,“Because exact locations save everyone time.”
